available_ingredients,recipe_name,recipe_ingredients,instructions,
"Chicken, Bell Peppers, Spices",Chicken Jalfrezi,"Chicken, bell peppers, onions, tomatoes, ginger, garam masala","1. Heat oil, sauté onions, ginger, and tomatoes. 2. Add chicken and cook until tender. 3. Toss in bell peppers and garam masala. 4. Serve hot with naan or roti.",
"Chicken, Ginger, Honey",Honey Garlic Chicken,"Chicken, honey, garlic, soy sauce, red chili flakes","1. Heat oil, sauté minced garlic. 2. Add chicken and cook until golden. 3. Stir in honey, soy sauce, and chili flakes. 4. Cook until thick and glossy. 5. Serve with rice.",
"Mutton, Coconut, Spices",Chettinad Mutton Curry,"Mutton, dry red chilies, coconut paste, fennel seeds, curry leaves","1. Heat oil, add fennel seeds, curry leaves, and dry chilies. 2. Add onions, cook until golden brown. 3. Stir in ginger-garlic paste, tomatoes, and mutton. 4. Add coconut paste and cook for 45 minutes. 5. Serve hot with dosa or idli.",
"Mutton, Sprouted Moong, Spices",Mutton Sprout Curry,"Mutton, sprouted moong dal, coconut milk, garam masala","1. Pressure cook mutton with sprouted moong dal. 2. Add coconut milk, simmer for 10 minutes. 3. Serve with dosa or idiyappam.",
"Mutton, Beetroot, Spices",Mutton Beetroot Fry,"Mutton, beetroot, black pepper, curry leaves","1. Heat oil, fry curry leaves and black pepper. 2. Add mutton and cook until brown. 3. Stir in grated beetroot and sauté well. 4. Serve as a side dish.",
"Mutton, Ridge Gourd, Spices",Mutton Peerkangai Masala,"Mutton, ridge gourd, tomatoes, onions, garam masala","1. Cook mutton until tender. 2. Add ridge gourd slices and cook for 10 minutes. 3. Stir in garam masala, serve with rice.",
"Chicken, Pepper, Garlic",Chicken Clear Soup,"Boneless chicken, black pepper, garlic, ginger, coriander leaves",1. Boil chicken with ginger and garlic. 2. Strain the broth and add black pepper. 3. Garnish with coriander leaves and serve hot.,
"Chicken, Coconut Milk, Turmeric",Kerala Nadan Chicken Stew,"Chicken, coconut milk, carrots, potatoes, green chilies, curry leaves","1. Sauté onions, green chilies, and curry leaves in coconut oil. 2. Add chicken and simmer with coconut milk and vegetables. 3. Serve with idiyappam or dosa.",
"Chicken, Sprouted Moong, Spices",Sprouted Moong Chicken Curry,"Chicken, sprouted moong dal, tomatoes, coconut paste",1. Cook sprouted moong with chicken and spices. 2. Add coconut paste and simmer. 3. Serve hot with chapati.,
"Fish, Raw Mango, Spices",Raw Mango Fish Curry,"Fish, raw mango, onions, curry leaves, coconut paste",1. Cook fish in a coconut-based curry with raw mango slices. 2. Simmer and serve hot with red rice.,
"Fish, Barley, Vegetables",Barley Fish Soup,"Fish, barley, carrots, garlic, coriander leaves","1. Cook barley with fish and vegetables. 2. Simmer and serve as a light, nutritious soup.",
"Mutton, Bottle Gourd, Spices",Mutton Bottle Gourd Curry,"Mutton, bottle gourd, green chilies, ginger, garlic",1. Cook mutton with spices. 2. Add chopped bottle gourd and simmer. 3. Serve with chapati.,
"Mutton, Pomegranate, Spices",Pomegranate Mutton Stew,"Mutton, pomegranate juice, onions, garlic, cinnamon",1. Cook mutton with cinnamon and onions. 2. Add pomegranate juice and simmer for 30 minutes. 3. Serve as a heart-healthy stew.,
"Crab, Drumstick Leaves, Garlic",Crab Drumstick Leaves Soup,"Crab, drumstick leaves, garlic, ginger",1. Cook crab with ginger and garlic. 2. Add drumstick leaves and simmer. 3. Serve hot as a healthy soup.,
"Egg, Oats, Vegetables",Egg Oats Porridge,"Oats, eggs, milk, carrots, black pepper",1. Cook oats with milk and carrots. 2. Add a soft-boiled egg on top. 3. Serve warm.,
"Egg, Drumstick Leaves, Spices",Murungai Keerai Egg Stir-Fry,"Eggs, drumstick leaves, onions, black pepper","1. Sauté onions, add drumstick leaves and eggs. 2. Scramble lightly and serve.",
"Egg, Ragi Flour, Buttermilk",Ragi Egg Dosa,"Ragi flour, eggs, buttermilk, green chilies",1. Mix ragi flour with buttermilk and eggs. 2. Cook as a dosa on a hot pan. 3. Serve with mint chutney.,
"Egg, Sprouts, Spices",Egg Sprout Salad,"Eggs, sprouted green gram, onions, lemon juice","1. Boil eggs, chop, and mix with sprouts. 2. Add lemon juice and serve as a salad.",
"Egg, Spinach, Garlic",Egg Spinach Omelet,"Eggs, spinach, garlic, black pepper",1. Sauté spinach and garlic. 2. Pour beaten eggs over and cook. 3. Serve hot.,
"Milk, Jaggery, Ragi Flour",Ragi Milk Halwa,"Ragi flour, milk, jaggery, ghee, cardamom","1. Mix ragi flour with warm milk. 2. Cook on low heat, adding jaggery and ghee. 3. Stir until thick, add cardamom, and serve warm.",
"Milk, Dry Fruits, Dates",Dates Milkshake,"Dates, milk, almonds, honey",1. Soak dates in warm milk. 2. Blend with almonds and honey. 3. Serve chilled.,
"Whole wheat noodles, vegetables, soy sauce",Veg Hakka Noodles,"Noodles, bell peppers, carrots, cabbage, soy sauce, garlic, ginger","1. Cook noodles, drain, and keep aside. 2. Sauté garlic and ginger in oil, add veggies. 3. Add soy sauce and mix in the noodles. 4. Stir-fry for a few minutes and serve hot.",
"Whole wheat noodles, eggs, chicken",Egg Chicken Noodles,"Noodles, egg, chicken, soy sauce, green onions, black pepper","1. Cook chicken and scramble eggs. 2. Stir-fry with garlic, add cooked noodles and soy sauce. 3. Toss well and serve hot.",
"Rice noodles, prawns, garlic, capsicum",Garlic Prawn Rice Noodles,"Rice noodles, prawns, garlic, chili flakes, soy sauce, lemon juice","1. Cook rice noodles and keep aside. 2. Sauté garlic, chili flakes, and prawns. 3. Add soy sauce, mix with noodles, and drizzle lemon juice before serving.",
"Mushrooms, pasta, cream",Mushroom Alfredo Pasta,"Pasta, mushrooms, cream, garlic, parmesan cheese","1. Cook pasta and set aside. 2. Sauté garlic and mushrooms in butter. 3. Add cream, parmesan, and mix with pasta. 4. Serve hot with black pepper garnish.",
"Whole wheat pasta, spinach, garlic",Spinach Garlic Pasta,"Pasta, spinach, garlic, olive oil, chili flakes","1. Cook pasta and keep aside. 2. Sauté garlic in olive oil, add spinach, and cook till soft. 3. Toss with pasta and season with chili flakes.",
"Mushrooms, butter, garlic, cheese",Stuffed Mushrooms,"Large mushrooms, cheese, garlic, black pepper, herbs","1. Remove mushroom stems and chop them. 2. Sauté with garlic, mix with cheese, and stuff back. 3. Bake until cheese melts and serve hot.",
"Noodles, vegetables, soy sauce",Schezwan Noodles,"Noodles, carrots, bell peppers, schezwan sauce, garlic","1. Cook noodles and drain. 2. Sauté garlic and vegetables, add schezwan sauce. 3. Toss noodles in sauce and serve hot.",
"Chicken, mushrooms, cheese",Creamy Chicken Mushroom Pasta,"Chicken, mushrooms, pasta, cream, cheese","1. Cook pasta and keep aside. 2. Sauté chicken and mushrooms in butter. 3. Add cream and cheese, mix with pasta.",
"Prawns, garlic, noodles",Spicy Garlic Prawn Noodles,"Noodles, prawns, garlic, chili flakes, soy sauce","1. Sauté garlic and chili flakes in oil. 2. Add prawns, cook until pink. 3. Mix with cooked noodles and soy sauce. 4. Serve hot.",
"Chicken, noodles, broth",Chicken Noodle Soup,"Chicken, noodles, broth, garlic, black pepper","1. Boil chicken, shred it. 2. Cook noodles separately. 3. Simmer broth with chicken and garlic, add noodles before serving.",
"Milk, Walnut, Almonds",Walnut Almond Shake,"Walnuts, almonds, milk, honey",1. Blend walnuts and almonds with warm milk. 2. Add honey and serve hot or cold.,
"Milk, Carrot, Honey",Carrot Halwa,"Grated carrot, milk, honey, ghee, cardamom",1. Sauté grated carrots in ghee. 2. Add milk and cook until soft. 3. Stir in honey and cardamom.,
"Coconut, Jaggery, Cardamom",Coconut Jaggery Ladoo,"Grated coconut, jaggery, cardamom, ghee",1. Roast coconut with ghee. 2. Add jaggery and mix well. 3. Roll into ladoos.,
"Eggs, capsicum, tomato",Egg Bhurji (Scrambled Egg),"Eggs, onions, capsicum, tomato, turmeric",1. Sauté onions and capsicum. 2. Add eggs and cook on low heat. 3. Stir well and serve hot.,
"Fish, ginger, soy sauce",Ginger Soy Fish,"Fish, soy sauce, ginger, garlic, sesame oil",1. Marinate fish with soy sauce and ginger. 2. Steam or bake for 15 mins. 3. Serve with sautéed greens.,
"Quinoa, paneer, bell peppers",Quinoa Paneer Stir-Fry,"Quinoa, paneer, bell peppers, garlic, olive oil, black pepper","1. Cook quinoa and set aside. 2. Stir-fry paneer cubes, bell peppers, and garlic in olive oil. 3. Mix with quinoa, season with pepper, and serve warm.",
"Pumpkin, ginger, coconut",Pumpkin Ginger Soup,"Pumpkin, ginger, coconut milk, black pepper, garlic",1. Boil pumpkin and blend into puree. 2. Add coconut milk and ginger. 3. Simmer and serve hot.,
"Elephant foot yam, tamarind, sambar powder",Senai Kizhangu Puli Curry (Yam Tamarind Curry),"Yam, tamarind, sambar powder, mustard seeds",1. Boil and chop yam. 2. Sauté with mustard seeds and curry leaves. 3. Add tamarind water and sambar powder. 4. Cook well and serve.,
"Pumpkin, jaggery, wheat flour",Parangikai Adai (Pumpkin Pancake),"Pumpkin, jaggery, wheat flour, cardamom","1. Grate pumpkin and mix with jaggery, flour, and cardamom. 2. Make pancakes on a hot tawa. 3. Serve warm.",
"Sprouted green gram, sesame",Pachai Payaru Sundal (Sprouted Green Gram Stir-Fry),"Green gram sprouts, sesame, curry leaves, coconut","1. Steam green gram sprouts. 2. Sauté mustard seeds, curry leaves, and sesame. 3. Add sprouts, mix well, and serve.",
"Chickpeas, Flour, Yogurt, Onions, Tomatoes, Spices",Chole Bhature,"Chickpeas, Flour, Yogurt, Onions, Tomatoes, Ginger, Garlic, Cumin, Garam Masala","Soak chickpeas overnight, cook with spices. Knead dough for bhature, roll and deep fry. Serve with chole.",
"Paneer, Butter, Cream, Tomatoes, Cashews, Spices",Paneer Butter Masala,"Paneer, Butter, Cream, Tomatoes, Cashews, Onions, Garlic, Ginger, Garam Masala","Prepare tomato and cashew gravy, blend to smooth. Add paneer cubes and cook with cream and butter.",
"Potatoes, Wheat Flour, Green Chilies, Coriander, Spices",Aloo Paratha,"Potatoes, Wheat Flour, Green Chilies, Coriander, Garam Masala, Salt, Butter","Boil and mash potatoes, mix with spices. Stuff into wheat dough, roll and cook on tawa with butter.",
"Kidney Beans, Rice, Onions, Tomatoes, Ginger, Garlic, Spices",Rajma Chawal,"Kidney Beans, Rice, Onions, Tomatoes, Ginger, Garlic, Cumin, Coriander Powder","Soak kidney beans overnight, pressure cook with spices. Serve with steamed rice.",
"Besan, Yogurt, Onions, Mustard Seeds, Curry Leaves, Spices",Kadhi Pakora,"Besan, Yogurt, Onions, Curry Leaves, Mustard Seeds, Turmeric, Red Chili Powder","Make besan pakoras, prepare yogurt-based kadhi with spices. Add pakoras and simmer.",
"Eggplant, Onions, Tomatoes, Green Chilies, Garlic, Spices",Baingan Bharta,"Eggplant, Onions, Tomatoes, Green Chilies, Garlic, Mustard Oil, Garam Masala","Roast eggplant, mash it. Sauté onions, tomatoes, and garlic. Add mashed eggplant and cook.",
"Black Lentils, Kidney Beans, Butter, Cream, Onions, Tomatoes, Spices",Dal Makhani,"Black Lentils, Kidney Beans, Butter, Cream, Onions, Tomatoes, Garlic, Ginger, Garam Masala","Soak lentils overnight, cook with spices. Prepare tomato-based sauce, add lentils and cream. Simmer and serve.",
"Spinach, Paneer, Onions, Garlic, Cream, Spices",Palak Paneer,"Spinach, Paneer, Onions, Garlic, Cream, Cumin, Garam Masala","Blanch spinach, blend to puree. Sauté onions, garlic, and spices. Add paneer and spinach puree. Cook with cream.",
"Potatoes, Tomatoes, Peas, Butter, Pav, Onions, Spices",Pav Bhaji,"Potatoes, Tomatoes, Peas, Onions, Capsicum, Butter, Pav Bhaji Masala","Boil vegetables, mash and cook with spices. Toast pav with butter and serve with bhaji.",
"Milk Powder, Flour, Ghee, Sugar, Cardamom, Rose Water",Gulab Jamun,"Milk Powder, Flour, Ghee, Sugar, Cardamom, Rose Water, Baking Soda","Knead dough, make small balls. Deep fry in ghee and soak in sugar syrup flavored with cardamom and rose water.",
"Rice Flour, Urad Dal, Cumin, Curry Leaves, Green Chilies, Oil",Murukku,"Rice Flour, Urad Dal, Cumin Seeds, Curry Leaves, Green Chilies, Salt, Oil",Mix rice flour and urad dal with spices. Shape into spirals using a mold and deep fry until crispy.,
"Gram Flour, Rice Flour, Asafoetida, Curry Leaves, Oil",Pakoda,"gram flour,rice flour,onions,curry leaves ,green chillies,salt,oil",Mix flours with sliced onions and spices. Deep fry in hot oil until golden brown.,
"Rice Flour, Coconut, Jaggery, Cardamom",Kozhukattai,"Rice Flour, Coconut, Jaggery, Cardamom, Ghee","Make rice flour dough, stuff with coconut and jaggery mixture, and steam until cooked.",
"Urad Dal, Rice, Pepper, Curry Leaves, Oil",Medu Vada,"Urad Dal, Black Pepper, Curry Leaves, Ginger, Green Chilies, Oil","Soak urad dal, grind to a thick batter, mix with spices, shape into rings, and deep fry.",
"Rice, Urad Dal, Curd, Curry Leaves, Mustard Seeds",Thayir Vada,"Urad Dal, Rice, Curd, Curry Leaves, Mustard Seeds, Green Chilies","Fry urad dal vadas, soak in curd with tempered mustard seeds and curry leaves.",
"Rice Flour, Coconut, Sugar, Cardamom, Ghee",Nei Appam,"Rice Flour, Jaggery, Coconut, Cardamom, Ghee",Make a batter with rice flour and jaggery. Pour into a paniyaram pan and fry until golden.,
"Rice Flour, Urad Dal, Fenugreek Seeds, Oil",Paniyaram,"v Rice Flour, Urad Dal, Fenugreek Seeds, Onions, Curry Leaves, Oil","Ferment batter, add onions and curry leaves. Cook in a paniyaram pan until crispy.",
"Rava, Curd, Mustard Seeds, Curry Leaves, Green Chilies, Oil",Rava Upma,"Rava, Curd, Mustard Seeds, Curry Leaves, Green Chilies, Onions, Oil","Roast rava, cook with tempered spices, and add curd. Stir until thickened.",
"Rice, Lentils, Tamarind, Spices, Curry Leaves, Oil",Masala Vada,"Chana Dal, Onions, Green Chilies, Curry Leaves, Ginger, Oil","Soak chana dal, grind coarsely with spices. Shape into patties and deep fry until crispy.",
"Jackfruit, Jaggery, Rice Flour, Coconut, Ghee",Jackfruit Appam,"Jackfruit, Rice Flour, Jaggery, Coconut, Ghee",Mix jackfruit puree with rice flour and jaggery. Pour into a paniyaram mold and cook with ghee.,
"Raw Bananas, Rice Flour, Turmeric, Salt, Oil",Banana Chips,"Raw Bananas, Rice Flour, Turmeric, Salt, Oil","Slice raw bananas thinly, coat with turmeric and salt, and deep fry until crispy.",
"Rice Flour, Jaggery, Coconut, Sesame Seeds, Cardamom",Adhirasam,"Rice Flour, Jaggery, Coconut, Sesame Seeds, Cardamom",Make a dough using rice flour and jaggery syrup. Flatten and fry until golden brown.,
"Maida, Sugar, Coconut, Cardamom, Ghee",Mysore Pak,"Gram Flour, Ghee, Sugar, Cardamom",Cook gram flour in sugar syrup and ghee until it forms a solid consistency. Cut into pieces.,
"Parboiled Rice, Jaggery, Coconut, Cardamom",Ariselu,"Rice Flour, Jaggery, Coconut, Cardamom",Prepare dough using rice flour and jaggery syrup. Flatten and fry in ghee until golden.,
"Rice Flour, Coconut, Jaggery, Cardamom, Oil",Sugiyan,"Rice Flour, Moong Dal, Jaggery, Coconut, Cardamom, Oil","Boil moong dal, mix with jaggery and coconut. Make balls, dip in rice flour batter, and deep fry.",
"Wheat Flour, Jaggery, Coconut, Cardamom, Ghee",Holige (Obbattu),"Wheat Flour, Jaggery, Coconut, Cardamom, Ghee",Make dough with wheat flour. Prepare filling with jaggery and coconut. Roll and cook on tawa with ghee.,
"Rice Flour, Salt, Water, Coconut",Idiyappam,"Rice Flour, Salt, Water, Coconut",Prepare rice flour dough. Press through an idiyappam maker. Steam and serve with coconut milk.,
"Carrot, Beans, Coconut, Mustard Seeds, Curry Leaves, Green Chilies",Carrot Beans Poriyal,"Carrot, Beans, Coconut, Mustard Seeds, Curry Leaves, Green Chilies","Chop carrots and beans. Sauté with mustard seeds, curry leaves, and green chilies. Add grated coconut and serve.",
"Spinach, Moong Dal, Garlic, Mustard Seeds, Green Chilies, Turmeric",Keerai Kootu,"Spinach, Moong Dal, Garlic, Mustard Seeds, Green Chilies, Turmeric","Cook moong dal, add spinach, and temper with garlic, mustard seeds, and chilies. Serve with rice.",
"Beetroot, Coconut, Green Chilies, Mustard Seeds, Curry Leaves",Beetroot Poriyal,"Beetroot, Coconut, Green Chilies, Mustard Seeds, Curry Leaves","Grate beetroot, sauté with mustard seeds, curry leaves, and chilies. Add grated coconut.",
